Product_ID,Product_Name,Category,Supplier,Demand_Index,Current_Stock_Qty,Stock_After_Sales,Reorder_Level,Purchase_Price,Selling_Price,Discount_%,Revenue,Profit
P00037,Ladies Top,Kids,Global Cloth House,404,32,0,209,235,507,15,13790.4,6270.4
P00038,Cotton Shirt,Women,FashionKart Supplies,191,162,80,57,926,1472,25,90528,14596
P00039,Silk Saree,Men,Global Cloth House,112,209,161,51,504,783,5,35704.8,11512.8
P00040,Casual T-Shirt,Kids,Global Cloth House,493,120,0,246,1203,1410,20,135360,-9000
P00041,Sports Shoes,Women,TexFab Traders,421,66,0,248,855,1223,5,76682.1,20252.1
P00042,Ladies Top,Women,Premium Textile Ltd,194,139,67,48,940,1513,20,87148.8,19468.8
P00043,Sports Shoes,Kids,TexFab Traders,445,148,0,207,1001,1196,25,132756,-15392
P00044,Casual T-Shirt,Men,FashionKart Supplies,286,291,150,140,780,1157,20,130509.6,20529.6
P00045,Sports Shoes,Kids,FashionKart Supplies,203,163,61,130,896,1280,25,97920,6528
P00046,Formal Trousers,Kids,TexFab Traders,143,257,202,34,417,990,20,43560,20625
P00047,Sports Shoes,Men,Global Cloth House,271,42,0,89,1323,1712,15,61118.4,5552.4
P00048,Ladies Top,Women,Premium Textile Ltd,491,115,0,150,715,830,5,90677.5,8452.5
P00049,Cotton Shirt,Kids,FashionKart Supplies,201,197,106,114,1156,1434,10,117444.6,12248.6
P00050,Formal Trousers,Kids,TexFab Traders,466,187,56,223,484,980,15,109123,45719
P00051,Denim Jeans,Men,Premium Textile Ltd,291,54,0,87,1169,1358,25,54999,-8127
P00052,Denim Jeans,Kids,TexFab Traders,440,215,5,207,1298,1810,15,323085,50505
P00053,Kids Wear Set,Men,TexFab Traders,298,183,73,89,1119,1410,10,139590,16500
P00054,Cotton Shirt,Kids,FashionKart Supplies,85,115,69,53,236,603,0,27738,16882
P00055,Sports Shoes,Men,Premium Textile Ltd,266,292,186,141,928,1369,20,116091.2,17723.2
P00056,Silk Saree,Men,FashionKart Supplies,445,252,147,168,654,1037,25,81663.75,12993.75
P00057,Woolen Jacket,Kids,Global Cloth House,416,163,32,218,1248,1783,10,210215.7,46727.7
P00058,Formal Trousers,Men,Premium Textile Ltd,193,76,31,68,1265,1550,25,52312.5,-4612.5
P00059,Ladies Top,Men,Premium Textile Ltd,264,240,85,97,1232,1405,5,206886.25,15926.25
P00060,Cotton Shirt,Men,Global Cloth House,56,193,177,42,1145,1527,5,23210.4,4890.4
P00061,Denim Jeans,Men,TexFab Traders,214,155,37,144,710,1136,0,134048,50268
P00062,Woolen Jacket,Women,FashionKart Supplies,464,294,132,210,366,556,5,85568.4,26276.4
P00063,Ladies Top,Kids,Premium Textile Ltd,175,192,129,42,1281,1528,15,81824.4,1121.4
P00064,Leather Belt,Men,Premium Textile Ltd,410,20,0,152,389,679,15,11543,3763
P00065,Cotton Shirt,Men,FashionKart Supplies,466,136,0,155,884,1143,20,124358.4,4134.4
P00066,Formal Trousers,Women,TexFab Traders,252,271,165,115,246,578,0,61268,35192
P00067,Cotton Shirt,Men,Global Cloth House,423,278,69,165,1170,1281,5,254342.55,9812.55
P00068,Leather Belt,Women,FashionKart Supplies,457,175,53,157,875,1064,5,123317.6,16567.6
P00069,Denim Jeans,Men,TexFab Traders,277,211,79,106,1368,1668,0,220176,39600
P00070,Formal Trousers,Men,FashionKart Supplies,289,65,0,114,1082,1437,20,74724,4394
P00071,Kids Wear Set,Women,Global Cloth House,361,261,185,154,573,737,5,53211.4,9663.4
P00072,Cotton Shirt,Kids,TexFab Traders,331,82,0,138,304,502,0,41164,16236
P00073,Formal Trousers,Kids,Global Cloth House,246,152,49,82,1196,1348,20,111075.2,-12112.8
P00074,Ladies Top,Women,Premium Textile Ltd,194,104,50,43,200,350,20,15120,4320
P00075,Woolen Jacket,Women,TexFab Traders,418,53,0,241,353,702,5,35345.7,16636.7
P00076,Casual T-Shirt,Women,Premium Textile Ltd,428,287,107,214,588,1165,25,157275,51435
P00077,Kids Wear Set,Men,FashionKart Supplies,304,226,80,93,634,836,25,91542,-1022
P00078,Denim Jeans,Women,Global Cloth House,147,268,213,67,1219,1348,5,70433,3388
P00079,Silk Saree,Men,TexFab Traders,334,157,0,135,984,1423,20,178728.8,24240.8
P00080,Denim Jeans,Women,TexFab Traders,499,224,77,192,310,658,10,87053.4,41483.4
P00081,Casual T-Shirt,Men,Premium Textile Ltd,401,214,27,176,260,481,10,80952.3,32332.3
P00082,Silk Saree,Men,TexFab Traders,141,189,156,51,844,1176,15,32986.8,5134.8
P00083,Ladies Top,Women,Global Cloth House,482,97,0,239,1296,1677,0,162669,36957
P00084,Kids Wear Set,Women,Premium Textile Ltd,105,126,103,77,1249,1640,0,37720,8993
P00085,Leather Belt,Men,Premium Textile Ltd,302,199,94,126,925,1038,5,103540.5,6415.5
P00086,Sports Shoes,Women,FashionKart Supplies,435,173,61,163,1082,1188,10,119750.4,-1433.6
P00087,Sports Shoes,Women,Premium Textile Ltd,288,293,175,117,1238,1529,0,180422,34338
P00088,Sports Shoes,Men,FashionKart Supplies,251,58,0,136,285,858,25,37323,20793
P00089,Kids Wear Set,Men,TexFab Traders,261,44,0,147,432,640,5,26752,7744
P00090,Woolen Jacket,Kids,Global Cloth House,83,130,94,37,947,1129,5,38611.8,4519.8
P00091,Kids Wear Set,Men,Global Cloth House,229,245,167,138,1076,1629,20,101649.6,17721.6
P00092,Kids Wear Set,Men,TexFab Traders,199,296,228,35,823,926,25,47226,-8738
P00093,Leather Belt,Kids,TexFab Traders,296,262,155,110,747,1254,25,100633.5,20704.5
P00094,Denim Jeans,Kids,FashionKart Supplies,384,153,50,243,1146,1307,0,134621,16583
P00095,Denim Jeans,Kids,Premium Textile Ltd,441,45,0,200,525,1034,25,34897.5,11272.5
P00096,Woolen Jacket,Kids,FashionKart Supplies,274,39,0,91,289,530,25,15502.5,4231.5
P00097,Formal Trousers,Women,Premium Textile Ltd,405,278,138,182,209,569,5,75677,46417
P00098,Denim Jeans,Men,FashionKart Supplies,179,103,58,30,528,900,0,40500,16740
P00099,Leather Belt,Women,Premium Textile Ltd,468,113,0,244,517,1060,15,101813,43392
P00100,Denim Jeans,Women,TexFab Traders,425,156,41,183,712,1107,25,95478.75,13598.75
P00101,Leather Belt,Kids,TexFab Traders,278,289,216,139,924,1188,20,69379.2,1927.2
P00102,Silk Saree,Kids,Global Cloth House,459,81,0,153,1265,1453,5,111808.35,9343.35
P00103,Leather Belt,Kids,FashionKart Supplies,63,198,172,67,774,1016,0,26416,6292
P00104,Kids Wear Set,Men,TexFab Traders,499,123,0,200,397,630,10,69741,20910
P00105,Sports Shoes,Kids,FashionKart Supplies,91,34,0,76,677,1007,10,30814.2,7796.2
P00106,Woolen Jacket,Men,Global Cloth House,490,116,0,176,1477,1772,25,154164,-17168
P00107,Denim Jeans,Women,TexFab Traders,172,137,66,67,1014,1341,20,76168.8,4174.8
P00108,Leather Belt,Kids,TexFab Traders,185,280,227,58,1043,1315,5,66210.25,10931.25
P00109,Silk Saree,Kids,FashionKart Supplies,341,88,0,99,1071,1208,25,79728,-14520
P00110,Leather Belt,Kids,Premium Textile Ltd,395,237,137,162,1433,2005,0,200500,57200
P00111,Leather Belt,Kids,FashionKart Supplies,405,152,0,186,1329,1925,15,248710,46702
P00112,Ladies Top,Men,Global Cloth House,100,48,0,43,978,1484,0,71232,24288
P00113,Formal Trousers,Men,Global Cloth House,159,201,111,52,766,1236,20,88992,20052
P00114,Kids Wear Set,Men,TexFab Traders,251,136,53,105,774,1117,0,92711,28469
P00115,Ladies Top,Kids,Global Cloth House,435,229,14,240,839,1365,10,264127.5,83742.5
P00116,Silk Saree,Women,FashionKart Supplies,74,199,184,35,1384,1660,20,19920,-840
P00117,Casual T-Shirt,Women,FashionKart Supplies,419,68,0,220,888,1135,25,57885,-2499
P00118,Casual T-Shirt,Kids,TexFab Traders,409,68,0,220,1364,1941,10,118789.2,26037.2
P00119,Leather Belt,Kids,Global Cloth House,81,177,141,58,485,728,10,23587.2,6127.2
P00120,Denim Jeans,Men,Global Cloth House,420,194,21,215,1336,1549,25,200982.75,-30145.25
P00121,Casual T-Shirt,Kids,Premium Textile Ltd,181,283,242,58,999,1364,5,53127.8,12168.8
P00122,Silk Saree,Women,Global Cloth House,429,106,0,204,1401,1891,20,160356.8,11850.8
P00123,Leather Belt,Men,TexFab Traders,296,274,175,133,1452,1618,10,144163.8,415.8
P00124,Cotton Shirt,Kids,FashionKart Supplies,467,115,0,237,1343,1744,10,180504,26059
P00125,Woolen Jacket,Men,Global Cloth House,447,242,0,204,206,635,0,153670,103818
P00126,Sports Shoes,Men,Premium Textile Ltd,161,55,0,58,713,1197,20,52668,13453
P00127,Woolen Jacket,Kids,Global Cloth House,435,214,122,236,460,852,25,58788,16468
P00128,Kids Wear Set,Women,TexFab Traders,477,299,38,230,831,989,25,193596.75,-23294.25
P00129,Sports Shoes,Men,Global Cloth House,164,228,147,43,436,816,0,66096,30780
P00130,Casual T-Shirt,Women,Premium Textile Ltd,53,173,159,58,1004,1178,25,12369,-1687
P00131,Denim Jeans,Men,Global Cloth House,405,60,0,187,1376,1961,5,111777,29217
P00132,Sports Shoes,Men,Global Cloth House,391,46,0,206,930,1197,5,52308.9,9528.9
P00133,Kids Wear Set,Men,Premium Textile Ltd,443,192,30,166,901,1122,25,136323,-9639
P00134,Denim Jeans,Women,Premium Textile Ltd,242,200,77,115,228,476,10,52693.2,24649.2
P00135,Leather Belt,Kids,FashionKart Supplies,213,132,65,138,1450,1859,5,118325.35,21175.35
P00136,Sports Shoes,Kids,FashionKart Supplies,295,88,4,135,950,1197,10,90493.2,10693.2
P00137,Silk Saree,Kids,TexFab Traders,495,220,28,175,272,572,0,109824,57600
P00138,Cotton Shirt,Men,TexFab Traders,476,123,0,191,330,927,20,91216.8,50626.8
P00139,Silk Saree,Women,Global Cloth House,403,31,0,168,1016,1560,0,48360,16864
P00140,Ladies Top,Men,Premium Textile Ltd,352,31,0,211,538,901,20,22344.8,5666.8
P00141,Cotton Shirt,Kids,TexFab Traders,423,217,91,221,1312,1679,10,190398.6,25086.6
P00142,Ladies Top,Men,TexFab Traders,75,66,30,61,910,1410,5,48222,15462
P00143,Formal Trousers,Women,Global Cloth House,440,289,79,228,336,806,5,160797,90237
P00144,Sports Shoes,Men,Global Cloth House,272,122,0,96,1375,1957,15,202940.9,35190.9
P00145,Denim Jeans,Kids,TexFab Traders,220,202,131,118,696,799,20,45383.2,-4032.8
P00146,Casual T-Shirt,Men,TexFab Traders,259,180,84,95,1331,1812,5,165254.4,37478.4
P00147,Sports Shoes,Kids,Global Cloth House,83,270,236,42,1262,1663,15,48060.7,5152.7
P00148,Cotton Shirt,Men,Global Cloth House,294,255,128,136,1462,1938,5,233819.7,48145.7
P00149,Kids Wear Set,Kids,Premium Textile Ltd,389,84,6,243,1365,1840,25,107640,1170
P00150,Denim Jeans,Women,Global Cloth House,342,172,102,127,784,1282,0,89740,34860
P00151,Kids Wear Set,Kids,Global Cloth House,342,80,0,122,1006,1545,25,92700,12220
P00152,Leather Belt,Kids,Global Cloth House,382,245,56,174,971,1129,15,181373.85,-2145.15
P00153,Casual T-Shirt,Men,Premium Textile Ltd,415,126,0,247,1136,1476,5,176677.2,33541.2
P00154,Silk Saree,Women,TexFab Traders,310,73,0,126,1322,1441,5,99933.35,3427.35
P00155,Cotton Shirt,Men,Premium Textile Ltd,468,197,0,231,415,517,10,91664.1,9909.1
P00156,Casual T-Shirt,Men,FashionKart Supplies,430,108,0,222,1490,1694,10,164656.8,3736.8
P00157,Kids Wear Set,Kids,TexFab Traders,275,189,98,88,1484,1978,10,161998.2,26954.2
P00158,Denim Jeans,Kids,Global Cloth House,377,270,188,154,1113,1666,20,109289.6,18023.6
P00159,Formal Trousers,Men,TexFab Traders,163,59,0,74,548,762,5,42710.1,10378.1
P00160,Silk Saree,Women,FashionKart Supplies,396,256,38,182,1370,1805,15,334466.5,35806.5
P00161,Cotton Shirt,Kids,Premium Textile Ltd,353,188,0,162,1393,1848,10,312681.6,50797.6
P00162,Casual T-Shirt,Kids,TexFab Traders,284,64,0,137,1254,1376,5,83660.8,3404.8
P00163,Ladies Top,Kids,TexFab Traders,207,58,17,110,1481,1786,20,58580.8,-2140.2
P00164,Sports Shoes,Women,FashionKart Supplies,62,65,29,56,216,675,5,23085,15309
P00165,Leather Belt,Men,Premium Textile Ltd,375,93,0,245,771,1205,25,84048.75,12345.75
P00166,Formal Trousers,Men,Global Cloth House,245,261,183,147,1240,1351,25,79033.5,-17686.5
P00167,Cotton Shirt,Women,Global Cloth House,242,41,0,129,886,1270,15,44259.5,7933.5
P00168,Woolen Jacket,Kids,Premium Textile Ltd,485,26,0,178,1078,1256,10,29390.4,1362.4
P00169,Ladies Top,Kids,Global Cloth House,479,245,0,178,1322,1818,0,445410,121520
P00170,Sports Shoes,Kids,Premium Textile Ltd,334,176,99,111,1173,1356,25,78309,-12012
P00171,Silk Saree,Men,Global Cloth House,285,111,0,100,1068,1610,15,151903.5,33355.5
P00172,Casual T-Shirt,Kids,TexFab Traders,436,276,33,207,1385,1929,10,421872.3,85317.3
P00173,Cotton Shirt,Men,FashionKart Supplies,61,293,270,44,1283,1812,0,41676,12167
P00174,Cotton Shirt,Men,TexFab Traders,57,98,68,56,398,884,20,21216,9276
P00175,Formal Trousers,Women,Premium Textile Ltd,453,65,0,164,405,959,0,62335,36010
P00176,Woolen Jacket,Men,Global Cloth House,481,233,0,151,594,757,20,141104.8,2702.8
P00177,Cotton Shirt,Men,Global Cloth House,369,114,0,187,928,1316,15,127520.4,21728.4
P00178,Casual T-Shirt,Men,FashionKart Supplies,316,233,157,130,600,775,0,58900,13300
P00179,Casual T-Shirt,Women,FashionKart Supplies,197,180,80,39,441,893,5,84835,40735
P00180,Cotton Shirt,Men,TexFab Traders,463,96,0,175,393,658,5,60009.6,22281.6
P00181,Ladies Top,Women,Premium Textile Ltd,155,142,75,35,1296,1754,0,117518,30686
P00182,Denim Jeans,Women,FashionKart Supplies,367,103,0,211,582,688,10,63777.6,3831.6
P00183,Woolen Jacket,Women,Global Cloth House,71,22,4,70,213,771,5,13184.1,9350.1
P00184,Casual T-Shirt,Kids,FashionKart Supplies,446,44,0,194,1370,1524,25,50292,-9988
P00185,Woolen Jacket,Men,FashionKart Supplies,270,138,13,132,506,905,5,107468.75,44218.75
P00186,Casual T-Shirt,Women,Premium Textile Ltd,199,56,0,61,1282,1512,15,71971.2,179.2
P00187,Ladies Top,Kids,Premium Textile Ltd,494,112,8,203,552,1042,15,92112.8,34704.8
P00188,Cotton Shirt,Women,TexFab Traders,208,43,0,99,931,1394,25,44956.5,4923.5
P00189,Woolen Jacket,Women,TexFab Traders,484,115,13,185,1065,1392,5,134884.8,26254.8
P00190,Denim Jeans,Women,Premium Textile Ltd,475,262,0,207,1491,1721,20,360721.6,-29920.4
P00191,Denim Jeans,Men,Premium Textile Ltd,274,27,0,121,533,634,20,13694.4,-696.6
P00192,Formal Trousers,Women,TexFab Traders,90,130,94,43,1307,1536,25,41472,-5580
P00193,Cotton Shirt,Kids,TexFab Traders,77,85,50,64,659,1198,15,35640.5,12575.5
P00194,Sports Shoes,Kids,Premium Textile Ltd,444,29,0,216,791,1348,20,31273.6,8334.6
P00195,Ladies Top,Women,TexFab Traders,306,152,19,99,1171,1271,0,169043,13300
P00196,Casual T-Shirt,Men,Premium Textile Ltd,470,194,11,225,355,821,25,112682.25,47717.25
P00197,Woolen Jacket,Women,Global Cloth House,179,39,1,55,318,452,25,12882,798
P00198,Formal Trousers,Men,Premium Textile Ltd,374,180,99,200,689,1064,20,68947.2,13138.2
P00199,Denim Jeans,Kids,Premium Textile Ltd,175,236,133,79,1262,1584,10,146836.8,16850.8
P00200,Denim Jeans,Kids,FashionKart Supplies,343,170,82,124,945,1424,5,119046.4,35886.4
P00201,Formal Trousers,Men,Premium Textile Ltd,313,176,0,84,1398,1787,0,314512,68464
P00202,Sports Shoes,Kids,Global Cloth House,476,133,0,231,502,833,0,110789,44023
P00203,Leather Belt,Men,Global Cloth House,338,20,0,98,1276,1679,20,26864,1344
P00204,Kids Wear Set,Women,Global Cloth House,269,211,123,149,1384,1652,0,145376,23584
P00205,Kids Wear Set,Men,TexFab Traders,208,117,20,83,596,1184,10,103363.2,45551.2
P00206,Cotton Shirt,Women,Global Cloth House,138,232,170,44,910,1152,20,57139.2,719.2
P00207,Silk Saree,Men,TexFab Traders,466,243,108,184,1490,1944,25,196830,-4320
P00208,Ladies Top,Women,Global Cloth House,314,22,0,105,653,1164,20,20486.4,6120.4
P00209,Ladies Top,Men,FashionKart Supplies,182,247,182,44,542,967,25,47141.25,11911.25
P00210,Denim Jeans,Kids,Premium Textile Ltd,70,126,94,45,1347,1845,0,59040,15936
P00211,Woolen Jacket,Kids,Premium Textile Ltd,320,296,187,92,1163,1758,20,153297.6,26530.6
P00212,Woolen Jacket,Women,Premium Textile Ltd,206,258,173,107,1367,1572,15,113577,-2618
P00213,Denim Jeans,Women,TexFab Traders,126,151,120,55,1486,1936,15,51013.6,4947.6
P00214,Ladies Top,Kids,TexFab Traders,208,90,40,142,644,1041,15,44242.5,12042.5
P00215,Woolen Jacket,Women,Premium Textile Ltd,359,191,29,194,1090,1330,25,161595,-14985
P00216,Casual T-Shirt,Men,Global Cloth House,269,45,0,88,1183,1660,0,74700,21465
P00217,Ladies Top,Men,Global Cloth House,396,87,0,199,1283,1549,5,128024.85,16403.85
P00218,Kids Wear Set,Women,Premium Textile Ltd,213,261,205,148,682,889,5,47294.8,9102.8
P00219,Cotton Shirt,Kids,TexFab Traders,199,162,74,64,1383,1493,5,124814.8,3110.8
P00220,Kids Wear Set,Women,TexFab Traders,490,273,0,174,462,646,5,167540.1,41414.1
P00221,Silk Saree,Women,Global Cloth House,174,186,104,70,1198,1577,15,109916.9,11680.9
P00222,Silk Saree,Women,Global Cloth House,91,186,165,74,943,1271,0,26691,6888
P00223,Woolen Jacket,Kids,TexFab Traders,185,89,7,70,760,1175,5,91532.5,29212.5
P00224,Formal Trousers,Kids,FashionKart Supplies,198,283,197,67,266,665,20,45752,22876
P00225,Ladies Top,Kids,Global Cloth House,375,149,18,236,813,1121,10,132165.9,25662.9
P00226,Denim Jeans,Kids,Global Cloth House,165,283,213,51,652,1084,20,60704,15064
P00227,Kids Wear Set,Kids,FashionKart Supplies,155,177,146,45,1179,1281,25,29783.25,-6765.75
P00228,Sports Shoes,Kids,FashionKart Supplies,167,24,0,49,563,983,0,23592,10080
P00229,Formal Trousers,Women,Global Cloth House,280,180,68,95,937,1178,15,112145.6,7201.6
P00230,Cotton Shirt,Kids,Global Cloth House,286,85,0,81,1168,1716,10,131274,31994
P00231,Silk Saree,Women,Premium Textile Ltd,203,215,162,134,605,1131,25,44957.25,12892.25
P00232,Formal Trousers,Women,FashionKart Supplies,288,68,0,121,1381,1696,5,109561.6,15653.6
P00233,Casual T-Shirt,Kids,FashionKart Supplies,56,33,15,38,777,1223,5,20913.3,6927.3
P00234,Silk Saree,Women,Global Cloth House,325,275,104,89,992,1344,25,172368,2736
P00235,Cotton Shirt,Kids,Global Cloth House,370,129,0,229,580,1115,10,129451.5,54631.5
P00236,Silk Saree,Men,Global Cloth House,74,160,144,63,1193,1744,0,27904,8816
P00237,Woolen Jacket,Men,FashionKart Supplies,61,147,121,61,742,1175,15,25967.5,6675.5
P00238,Denim Jeans,Men,FashionKart Supplies,496,179,77,242,1353,1512,10,138801.6,795.6
P00239,Silk Saree,Men,Premium Textile Ltd,467,285,181,238,889,1241,0,129064,36608
P00240,Sports Shoes,Kids,TexFab Traders,148,168,93,38,1082,1444,15,92055,10905
P00241,Cotton Shirt,Kids,FashionKart Supplies,322,120,34,131,619,842,25,54309,1075
P00242,Sports Shoes,Women,Premium Textile Ltd,165,210,153,64,291,860,25,36765,20178
P00243,Sports Shoes,Men,TexFab Traders,135,152,118,31,604,949,25,24199.5,3663.5
P00244,Formal Trousers,Women,Premium Textile Ltd,363,84,10,162,441,1033,20,61153.6,28519.6
P00245,Formal Trousers,Women,TexFab Traders,222,179,102,115,696,983,10,68121.9,14529.9
P00246,Formal Trousers,Kids,TexFab Traders,331,215,106,113,793,1124,10,110264.4,23827.4
P00247,Kids Wear Set,Men,FashionKart Supplies,462,61,0,170,824,1028,0,62708,12444
P00248,Leather Belt,Men,TexFab Traders,178,149,96,77,1233,1574,5,79250.9,13901.9
P00249,Leather Belt,Men,FashionKart Supplies,252,266,177,113,925,1224,0,108936,26611
P00250,Cotton Shirt,Kids,FashionKart Supplies,222,88,0,111,286,486,20,34214.4,9046.4
P00251,Leather Belt,Men,Premium Textile Ltd,92,128,106,53,1240,1472,15,27526.4,246.4
P00252,Formal Trousers,Women,Premium Textile Ltd,415,247,3,160,1434,1924,10,422510.4,72614.4
P00253,Silk Saree,Kids,Global Cloth House,310,280,186,87,1191,1658,15,132474.2,20520.2
P00254,Cotton Shirt,Kids,FashionKart Supplies,305,68,0,115,368,684,5,44186.4,19162.4
P00255,Sports Shoes,Women,Premium Textile Ltd,419,285,181,170,969,1442,20,119974.4,19198.4
P00256,Formal Trousers,Kids,FashionKart Supplies,337,245,172,90,472,995,5,69003.25,34547.25
P00257,Sports Shoes,Men,TexFab Traders,364,143,47,238,613,1180,20,90624,31776
P00258,Silk Saree,Women,TexFab Traders,425,141,3,181,238,834,15,97828.2,64984.2
P00259,Kids Wear Set,Kids,Global Cloth House,198,168,70,37,437,671,15,55894.3,13068.3
P00260,Casual T-Shirt,Women,Premium Textile Ltd,394,41,0,241,969,1097,20,35981.6,-3747.4
P00261,Woolen Jacket,Kids,Global Cloth House,144,107,36,73,620,908,0,64468,20448
P00262,Leather Belt,Kids,Premium Textile Ltd,167,38,0,52,307,773,0,29374,17708
P00263,Formal Trousers,Kids,FashionKart Supplies,411,205,0,165,1484,1586,0,325130,20910
P00264,Woolen Jacket,Kids,FashionKart Supplies,369,29,0,170,430,748,10,19522.8,7052.8
P00265,Denim Jeans,Men,FashionKart Supplies,62,105,74,71,765,876,0,27156,3441
P00266,Kids Wear Set,Women,TexFab Traders,426,39,0,224,1214,1383,10,48543.3,1197.3
P00267,Formal Trousers,Women,FashionKart Supplies,160,151,70,49,1213,1539,5,118426.05,20173.05
P00268,Formal Trousers,Women,TexFab Traders,359,221,126,187,387,543,20,41268,4503
P00269,Woolen Jacket,Men,Premium Textile Ltd,120,23,0,58,535,820,15,16031,3726
P00270,Woolen Jacket,Women,FashionKart Supplies,211,177,113,98,259,761,0,48704,32128
P00271,Silk Saree,Women,FashionKart Supplies,158,95,2,59,1340,1854,15,146558.7,21938.7
P00272,Silk Saree,Men,FashionKart Supplies,399,202,85,204,1030,1245,0,145665,25155
P00273,Kids Wear Set,Women,TexFab Traders,210,217,134,83,1270,1844,25,114789,9379
P00274,Sports Shoes,Men,Global Cloth House,449,80,0,159,1172,1378,0,110240,16480
P00275,Casual T-Shirt,Men,Global Cloth House,386,70,0,168,1121,1719,20,96264,17794
P00276,Formal Trousers,Men,TexFab Traders,123,211,152,34,1483,1708,5,95733.4,8236.4
P00277,Silk Saree,Men,FashionKart Supplies,362,119,39,219,885,1300,15,88400,17600
P00278,Kids Wear Set,Kids,FashionKart Supplies,201,55,0,109,817,1330,25,54862.5,9927.5
P00279,Sports Shoes,Kids,Premium Textile Ltd,269,289,206,89,1405,1983,5,156359.55,39744.55
P00280,Kids Wear Set,Men,Global Cloth House,93,247,227,72,449,911,0,18220,9240
P00281,Formal Trousers,Women,TexFab Traders,56,89,78,44,1426,1673,20,14722.4,-963.6
P00282,Ladies Top,Women,FashionKart Supplies,425,161,0,206,220,401,20,51648.8,16228.8
P00283,Silk Saree,Kids,Global Cloth House,470,180,0,199,1094,1683,0,302940,106020
P00284,Sports Shoes,Women,Premium Textile Ltd,338,100,17,103,227,768,10,57369.6,38528.6
P00285,Kids Wear Set,Kids,Global Cloth House,226,36,0,149,809,973,5,33276.6,4152.6
P00286,Formal Trousers,Men,Global Cloth House,71,131,115,31,1367,1834,10,26409.6,4537.6
